ENTITY ID | FRIENDLY NAME
sensor.kleiderschrank_signalstarke | Signalstärke
sensor.kleiderschrank_ssid | SSID
sensor.kleiderschrank_gerateuhrzeit | Geräteuhrzeit
switch.kleiderschrank_automatisches_update_aktiviert | Automatisches Update aktiviert
switch.kleiderschrank_fliessende_ubergange | Fließende Übergänge
binary_sensor.bad_cloud_verbindung | Cloud-Verbindung
binary_sensor.bad_uberhitzt | Überhitzt
button.bad_neu_starten | Neu starten
light.bad | Unknown
select.bad_lichtvoreinstellung | Lichtvoreinstellung
sensor.bad_signalpegel | Signalpegel
sensor.bad_signalstarke | Signalstärke
sensor.bad_ssid | SSID
sensor.bad_gerateuhrzeit | Geräteuhrzeit
switch.bad_automatisches_update_aktiviert | Automatisches Update aktiviert
switch.bad_fliessende_ubergange | Fließende Übergänge
binary_sensor.bett_licht_cloud_verbindung | Cloud-Verbindung
binary_sensor.bett_licht_uberhitzt | Überhitzt
button.bett_licht_neu_starten | Neu starten
light.bett_licht | Unknown
select.bett_licht_lichtvoreinstellung | Lichtvoreinstellung
sensor.bett_licht_signalpegel | Signalpegel
sensor.bett_licht_signalstarke | Signalstärke
sensor.bett_licht_ssid | SSID
sensor.bett_licht_gerateuhrzeit | Geräteuhrzeit
switch.bett_licht_automatisches_update_aktiviert | Automatisches Update aktiviert
switch.bett_licht_fliessende_ubergange | Fließende Übergänge
binary_sensor.computer_licht_cloud_verbindung | Cloud-Verbindung
button.computer_licht_neu_starten | Neu starten
light.computer_licht | Unknown
select.computer_licht_lichtvoreinstellung | Lichtvoreinstellung
sensor.computer_licht_signalstarke | Signalstärke
sensor.computer_licht_derzeitiger_verbrauch | Derzeitiger Verbrauch
sensor.computer_licht_heutiger_verbrauch | Heutiger Verbrauch
sensor.computer_licht_der_verbrauch_dieses_monats | Der Verbrauch dieses Monats
sensor.computer_licht_gesamtverbrauch | Gesamtverbrauch
binary_sensor.fritz_box_6690_cable_wan_status | WAN-Status
sensor.fritz_box_6690_cable_empfangene_daten | Empfangene Daten
sensor.fritz_box_6690_cable_gesendete_daten | Gesendete Daten
sensor.fritz_box_6690_cable_empfangene_pakete | Empfangene Pakete
sensor.fritz_box_6690_cable_gesendete_pakete | Gesendete Pakete
sensor.fritz_box_6690_cable_betriebszeit | Betriebszeit
sensor.fritz_box_6690_cable_wan_status | WAN-Status
sensor.fritz_box_6690_cable_download_geschwindigkeit | Download-Geschwindigkeit
sensor.fritz_box_6690_cable_upload_geschwindigkeit | Upload-Geschwindigkeit
sensor.fritz_box_6690_cable_paket_download_geschwindigkeit | Paket-Download-Geschwindigkeit
sensor.fritz_box_6690_cable_paket_upload_geschwindigkeit | Paket-Upload-Geschwindigkeit
button.fritz_box_6690_cable_firmware_update | Firmware-Update
button.fritz_box_6690_cable_neu_starten | Neu starten
button.fritz_box_6690_cable_neu_verbinden | Neu verbinden
button.fritz_box_6690_cable_aufraumen | Aufräumen
button.hubv3_04021234138_wake_on_lan | hubv3-04021234138 Wake on LAN
button.desktop_g3e9gmi_wake_on_lan | DESKTOP-G3E9GMI Wake on LAN
button.homeassistant_wake_on_lan | reidhomeassistant Wake on LAN
update.fritz_box_6690_cable_fritz_os | FRITZ!OS
device_tracker.l900 | L900
device_tracker.l900_2 | L900
device_tracker.tapo_smartplug | Tapo-SmartPlug
device_tracker.l900_3 | L900
device_tracker.presence_sensor_fp2_f9cf | Presence-Sensor-FP2-F9CF
device_tracker.none_2 | none
device_tracker.kl430 | KL430
device_tracker.kh100 | KH100
device_tracker.l900_4 | L900
device_tracker.pc_a8_80_55_f9_79_65 | PC-A8-80-55-F9-79-65
device_tracker.l900_5 | L900
device_tracker.p115 | P115
device_tracker.fuchsia_ac67_8427_9a76 | fuchsia-ac67-8427-9a76
device_tracker.l530 | L530
device_tracker.l530_2 | L530
device_tracker.redmi_note_12_pro_5g | Redmi-Note-12-Pro-5G
device_tracker.wlan0 | wlan0
device_tracker.wlan0_2 | wlan0
device_tracker.linux | linux-3
device_tracker.wlan0_3 | wlan0
device_tracker.wlan0_4 | wlan0
device_tracker.aqara_hub_e1_ec77 | Aqara-Hub-E1-EC77
device_tracker.iphone | iPhone
device_tracker.desktop_dingvfm | DESKTOP-DINGVFM
device_tracker.roborock_vacuum_a38 | roborock-vacuum-a38
